2000,1600,50,1
1998.2,1598.5,50.033,0.99999
1996.5,1596.9,50.066,0.99998
1994.7,1595.4,50.099,0.99997
1993,1593.9,50.132,0.99996
1991.2,1592.3,50.164,0.99995
1989.5,1590.8,50.197,0.99993
1987.7,1589.3,50.23,0.99992
1986,1587.7,50.263,0.99991
1984.2,1586.2,50.296,0.9999
1982.5,1584.7,50.329,0.99989
1980.7,1583.1,50.362,0.99988
1979,1581.6,50.395,0.99987
1977.2,1580.1,50.427,0.99986
1975.5,1578.5,50.46,0.99985
1973.7,1577,50.493,0.99984
1971.9,1575.5,50.526,0.99982
1970.2,1573.9,50.559,0.99981
1968.4,1572.4,50.592,0.9998
1966.7,1570.8,50.625,0.99979
1964.9,1569.3,50.658,0.99978
1963.2,1567.8,50.69,0.99977
1961.4,1566.2,50.723,0.99976
1959.7,1564.7,50.756,0.99975
1957.9,1563.2,50.789,0.99974
1956.2,1561.6,50.822,0.99973
1954.4,1560.1,50.855,0.99972
1952.7,1558.6,50.888,0.9997
1950.9,1557,50.921,0.99969
1949.2,1555.5,50.953,0.99968
1947.4,1554,50.986,0.99967
1945.6,1552.4,51.019,0.99966
1943.9,1550.9,51.052,0.99965
1942.1,1549.4,51.085,0.99964
1940.4,1547.8,51.118,0.99963
1938.6,1546.3,51.151,0.99962
1936.9,1544.8,51.184,0.99961
1935.1,1543.2,51.216,0.99959
1933.4,1541.7,51.249,0.99958
1931.6,1540.2,51.282,0.99957
1929.9,1538.6,51.315,0.99956
1928.1,1537.1,51.348,0.99955
1926.4,1535.6,51.381,0.99954
1924.6,1534,51.414,0.99953
1922.8,1532.5,51.447,0.99952
1921.1,1531,51.479,0.99951
1919.3,1529.4,51.512,0.9995
1917.6,1527.9,51.545,0.99948
1915.8,1526.4,51.578,0.99947
1914.1,1524.8,51.611,0.99946
1912.3,1523.3,51.644,0.99945
1910.6,1521.8,51.677,0.99944
1908.8,1520.2,51.71,0.99943
1907.1,1518.7,51.742,0.99942
1905.3,1517.2,51.775,0.99941
1903.6,1515.6,51.808,0.9994
1901.8,1514.1,51.841,0.99939
1900.1,1512.5,51.874,0.99938
1898.3,1511,51.907,0.99936
1896.5,1509.5,51.94,0.99935
1894.8,1507.9,51.973,0.99934
1893,1506.4,52.005,0.99933
1891.3,1504.9,52.038,0.99932
1889.5,1503.3,52.071,0.99931
1887.8,1501.8,52.104,0.9993
1886,1500.3,52.137,0.99929
1884.3,1498.7,52.17,0.99928
1882.5,1497.2,52.203,0.99927
1880.8,1495.7,52.236,0.99925
1879,1494.1,52.268,0.99924
1877.3,1492.6,52.301,0.99923
1875.5,1491.1,52.334,0.99922
1873.8,1489.5,52.367,0.99921
1872,1488,52.4,0.9992
1870.2,1486.5,52.433,0.99919
1868.5,1484.9,52.466,0.99918
1866.7,1483.4,52.499,0.99917
1865,1481.9,52.532,0.99916
1863.2,1480.3,52.564,0.99915
1861.5,1478.8,52.597,0.99913
1859.7,1477.3,52.63,0.99912
1858,1475.7,52.663,0.99911
1856.2,1474.2,52.696,0.9991
1854.5,1472.7,52.729,0.99909
1852.7,1471.1,52.762,0.99908
1851,1469.6,52.795,0.99907
1849.2,1468.1,52.827,0.99906
1847.5,1466.5,52.86,0.99905
1845.7,1465,52.893,0.99904
1843.9,1463.5,52.926,0.99902
1842.2,1461.9,52.959,0.99901
1840.4,1460.4,52.992,0.999
1838.7,1459,53.025,0.99899
1836.9,1457.7,53.058,0.99898
1835.2,1456.4,53.09,0.99897
1833.4,1455.1,53.123,0.99896
1831.7,1453.8,53.156,0.99895
1829.9,1452.4,53.189,0.99894
